Username,ProfileLink,DisplayName,Races,Points,Title,Team
i_heartmonkeys,https://www.nitromath.com/racer/i_heartmonkeys,1 Typo u forgot are,158,2758,Drift King,LEGOLF
typebot192013,https://www.nitromath.com/racer/typebot192013,CrackedTypeBot,103,2678,Pro Pacer,CF02
dcd55545eba171aa5e829401667e390b,https://www.nitromath.com/racer/dcd55545eba171aa5e829401667e390b,ROLOLANDO,202,2602,Spring-a-round,GO10
deathviper_10k,https://www.nitromath.com/racer/deathviper_10k,Stingray,124,2573,Sunday Driver,SERVNT
losdedos,https://www.nitromath.com/racer/losdedos,Go Eagles,90,2525,Eggstra Speedy,LEGOLF
skipfiveyt,https://www.nitromath.com/racer/skipfiveyt,Smores,1077,2403,Insert Title Here,ZH
wild_x_derxy,https://www.nitromath.com/racer/wild_x_derxy,PrinceWarrior,744,2361,Battle Beast,WL
dragonfirebreath,https://www.nitromath.com/racer/dragonfirebreath,dragonfirebreath,135,2358,First Trimester,GO10
kingcalpal,https://www.nitromath.com/racer/kingcalpal,Firestar 1k,91,2357,Original Gangster,LEGOLF
raestay,https://www.nitromath.com/racer/raestay,Rae                                               ,446,2326,Never Exhausted,TMS
akeemb2561,https://www.nitromath.com/racer/akeemb2561,864jix,95,2314,Nitro Rich,NMGDS
dinonuggiesmalachi,https://www.nitromath.com/racer/dinonuggiesmalachi,MrEpicLeauger,73,2300,"Yeah, Buoy!",CF02
ttv_itscambria,https://www.nitromath.com/racer/ttv_itscambria,ttv_itsCambria 20k,99,2267,Keyboard Cat,FASZ
bull33,https://www.nitromath.com/racer/bull33,Lag Boulevard,94,2261,Oops!,TCLIP
087c6850ff31f1dc6367db022cc6477e,https://www.nitromath.com/racer/087c6850ff31f1dc6367db022cc6477e,EmeraldCoralSwan,102,2240,Mystery Man,BEAST
lammiep,https://www.nitromath.com/racer/lammiep,"Come, Lord Jesus",109,2205,Legendary Lapper,SERVNT
santino999,https://www.nitromath.com/racer/santino999,R A I N,76,2196,Rolling Royalty Racer,X3
6126d1645623032eeef0a041a7040982,https://www.nitromath.com/racer/6126d1645623032eeef0a041a7040982,Matthew,203,2137,Filthy Rich,GO10
mark6k57348953,https://www.nitromath.com/racer/mark6k57348953,zestychipmunk,108,2132,Nitro Dog,DM8TE
bex3,https://www.nitromath.com/racer/bex3,⚡️Bex3⚡️,80,2074,Competitor Team,NFO
fb1b40659a536d6e7d68de16f49b33b3,https://www.nitromath.com/racer/fb1b40659a536d6e7d68de16f49b33b3,Mgcars_ritch,91,2054,Santa’s Lil’ Helper,EVSC
jayce67,https://www.nitromath.com/racer/jayce67,Emperor Jaguar,82,2010,The Diamond Racer,LEGOLF
ljgthegoat,https://www.nitromath.com/racer/ljgthegoat,God is Lord of Lords,87,1921,Spring-a-round,JDFU
5396878d06574a7d5e89b019faa711cf,https://www.nitromath.com/racer/5396878d06574a7d5e89b019faa711cf,biggieboi-RETIRING,91,1900,:D,CONM
cricketipl100,https://www.nitromath.com/racer/cricketipl100,B_L_U_E_G_U_Y,99,1885,Filthy Rich,J4UP
09f298e18d19a90aed88c524923ce484,https://www.nitromath.com/racer/09f298e18d19a90aed88c524923ce484,Internet math,207,1882,Nitro Rich,IMT
de477a32d0e75e2d980566be806956f3,https://www.nitromath.com/racer/de477a32d0e75e2d980566be806956f3,I like to Crash out,62,1845,Taco Lover,TMS
wolftechnology,https://www.nitromath.com/racer/wolftechnology,The Wolf,58,1836,League Champion,ML
95462a37c7fc30f2400d1d990a949f94,https://www.nitromath.com/racer/95462a37c7fc30f2400d1d990a949f94,ROAD TO 5K,90,1827,Epic Engager,N8TH
c2d365ed6ff5f199c3761e82754e5356,https://www.nitromath.com/racer/c2d365ed6ff5f199c3761e82754e5356,Mango Boy,235,1809,Spring-a-round,IMT
743d7aa22aa010ee17916e9122e16a1f,https://www.nitromath.com/racer/743d7aa22aa010ee17916e9122e16a1f,Gabriel1247,79,1770,Filthy Rich,GRIFF
golden_beluga13412,https://www.nitromath.com/racer/golden_beluga13412,golden_beluga13412,80,1766,Raw Racing Recruit,4MATH
cfe5c5250ab850d9c0caf47bb80b1914,https://www.nitromath.com/racer/cfe5c5250ab850d9c0caf47bb80b1914,biscuitplayz,93,1760,Nitro Dog,BAG
1ebd7a58195933f624e90ce4ddae0f67,https://www.nitromath.com/racer/1ebd7a58195933f624e90ce4ddae0f67,EpicPenguinRacer,74,1759,Millionaire,CC
